idx,true_label,samples_used_anytime,set_size_anytime,correct_anytime,proxy_prob_anytime
0,6,1,1,1,1.0
1,3,1,1,0,1.0
2,4,1,1,0,1.0
3,3,1,1,0,1.0
4,1,1,1,0,1.0
5,6,1,1,1,1.0
6,6,1,1,0,1.0
7,7,1,1,0,1.0
8,2,1,1,1,1.0
9,7,1,1,1,1.0
10,1,1,1,1,1.0
11,2,1,1,0,1.0
12,4,1,1,0,1.0
13,3,1,1,1,1.0
14,2,1,1,1,1.0
15,7,1,1,0,1.0
16,5,1,1,1,1.0
17,7,1,1,1,1.0
18,3,1,1,1,1.0
19,6,1,1,1,1.0
20,4,1,1,0,1.0
21,0,1,1,1,1.0
22,5,1,1,1,1.0
23,3,1,1,0,1.0
24,3,1,1,1,1.0
25,1,1,1,0,1.0
26,7,1,1,1,1.0
27,1,1,1,0,1.0
28,5,1,1,0,1.0
29,1,1,1,1,1.0
30,5,1,1,0,1.0
31,0,1,1,1,1.0
32,6,1,1,1,1.0
33,6,1,1,0,1.0
34,7,1,1,0,1.0
35,3,1,1,0,1.0
36,4,1,1,1,1.0
37,1,1,1,1,1.0
38,0,1,1,1,1.0
39,7,1,1,0,1.0
40,1,1,1,1,1.0
41,4,1,1,1,1.0
42,3,1,1,1,1.0
43,4,1,1,1,1.0
44,3,1,1,0,1.0
45,0,1,1,0,1.0
46,5,1,1,0,1.0
47,5,1,1,1,1.0
48,7,1,1,0,1.0
49,6,1,1,0,1.0
50,0,1,1,1,1.0
51,4,1,1,1,1.0
52,3,1,1,1,1.0
53,5,1,1,0,1.0
54,4,1,1,0,1.0
55,6,1,1,1,1.0
56,7,1,1,0,1.0
57,3,1,1,0,1.0
58,1,1,1,1,1.0
59,3,1,1,0,1.0
60,4,1,1,1,1.0
61,2,1,1,0,1.0
62,7,1,1,0,1.0
63,2,1,1,1,1.0
64,0,1,1,0,1.0
65,7,1,1,1,1.0
66,4,1,1,1,1.0
67,7,1,1,1,1.0
