idx,true_label,samples_used_anytime,set_size_anytime,correct_anytime,proxy_prob_anytime
0,5,1,1,1,1.0
1,1,1,1,1,1.0
2,5,1,1,1,1.0
3,0,1,1,1,1.0
4,3,1,1,1,1.0
5,0,1,1,1,1.0
6,0,1,1,1,1.0
7,1,1,1,1,1.0
8,1,1,1,1,1.0
9,5,1,1,1,1.0
10,0,1,1,1,1.0
11,4,1,1,1,1.0
12,5,1,1,1,1.0
13,5,1,1,0,1.0
14,6,1,1,0,1.0
15,4,1,1,1,1.0
16,7,1,1,0,1.0
17,5,1,1,1,1.0
18,1,1,1,1,1.0
19,3,1,1,1,1.0
20,1,1,1,0,1.0
21,5,1,1,1,1.0
22,2,1,1,1,1.0
23,0,1,1,1,1.0
24,4,1,1,1,1.0
25,2,1,1,1,1.0
26,5,1,1,0,1.0
27,0,1,1,1,1.0
28,3,1,1,1,1.0
29,7,1,1,0,1.0
30,2,1,1,1,1.0
31,2,1,1,0,1.0
32,5,1,1,1,1.0
33,4,1,1,1,1.0
34,0,1,1,1,1.0
35,2,1,1,1,1.0
36,3,1,1,1,1.0
37,4,1,1,1,1.0
38,1,1,1,1,1.0
39,6,1,1,1,1.0
40,3,1,1,0,1.0
41,7,1,1,0,1.0
42,1,1,1,1,1.0
43,2,1,1,1,1.0
44,3,1,1,0,1.0
45,7,1,1,0,1.0
46,2,1,1,1,1.0
47,5,1,1,1,1.0
48,0,1,1,0,1.0
49,4,1,1,1,1.0
50,4,1,1,1,1.0
51,7,1,1,1,1.0
52,0,1,1,1,1.0
53,6,1,1,1,1.0
54,4,1,1,0,1.0
55,4,1,1,1,1.0
56,3,1,1,1,1.0
57,4,1,1,1,1.0
58,0,1,1,1,1.0
59,3,1,1,0,1.0
60,5,1,1,1,1.0
61,6,1,1,1,1.0
62,5,1,1,1,1.0
63,7,1,1,1,1.0
64,1,1,1,1,1.0
65,5,1,1,0,1.0
66,5,1,1,0,1.0
67,2,1,1,1,1.0
68,3,1,1,1,1.0
69,0,1,1,1,1.0
70,4,1,1,1,1.0
71,6,1,1,1,1.0
72,3,1,1,1,1.0
73,4,1,1,1,1.0
74,7,1,1,1,1.0
75,4,1,1,1,1.0
76,2,1,1,1,1.0
77,5,1,1,1,1.0
78,4,1,1,0,1.0
79,7,1,1,0,1.0
80,4,1,1,0,1.0
81,2,1,1,1,1.0
82,0,1,1,1,1.0
83,6,1,1,1,1.0
84,7,1,1,1,1.0
85,3,1,1,1,1.0
86,5,1,1,1,1.0
87,7,1,1,1,1.0
88,0,1,1,1,1.0
89,3,1,1,1,1.0
90,1,1,1,1,1.0
91,7,1,1,1,1.0
92,1,1,1,0,1.0
93,4,1,1,1,1.0
94,5,1,1,1,1.0
95,5,1,1,1,1.0
96,1,1,1,1,1.0
97,5,1,1,1,1.0
98,3,1,1,1,1.0
99,5,1,1,0,1.0
100,1,1,1,1,1.0
101,5,1,1,0,1.0
102,0,1,1,1,1.0
103,5,1,1,1,1.0
104,2,1,1,1,1.0
105,3,1,1,1,1.0
106,1,1,1,1,1.0
107,2,1,1,1,1.0
108,2,1,1,1,1.0
109,2,1,1,0,1.0
110,2,1,1,1,1.0
111,7,1,1,1,1.0
112,5,1,1,1,1.0
113,5,1,1,1,1.0
114,5,1,1,1,1.0
115,3,1,1,1,1.0
116,3,1,1,0,1.0
117,7,1,1,1,1.0
118,3,1,1,1,1.0
119,1,1,1,1,1.0
120,1,1,1,1,1.0
121,4,1,1,1,1.0
122,3,1,1,1,1.0
123,1,1,1,1,1.0
124,6,1,1,1,1.0
125,5,1,1,1,1.0
126,7,1,1,1,1.0
127,5,1,1,1,1.0
128,3,1,1,1,1.0
129,7,1,1,1,1.0
130,3,1,1,1,1.0
131,4,1,1,1,1.0
132,5,1,1,1,1.0
133,4,1,1,1,1.0
134,5,1,1,0,1.0
