idx,true_label,samples_used_anytime,set_size_anytime,correct_anytime,proxy_prob_anytime
0,5,1,1,1,1.0
1,2,1,1,1,1.0
2,4,1,1,1,1.0
3,2,1,1,1,1.0
4,0,1,1,1,1.0
5,2,1,1,1,1.0
6,2,1,1,1,1.0
7,1,1,1,1,1.0
8,0,1,1,1,1.0
9,7,1,1,1,1.0
10,4,1,1,0,1.0
11,3,1,1,0,1.0
12,7,1,1,0,1.0
13,1,1,1,1,1.0
14,3,1,1,1,1.0
15,6,1,1,1,1.0
16,5,1,1,1,1.0
17,3,1,1,0,1.0
18,2,1,1,1,1.0
19,0,1,1,1,1.0
20,0,1,1,1,1.0
21,1,1,1,0,1.0
22,6,1,1,1,1.0
23,5,1,1,1,1.0
24,3,1,1,0,1.0
25,6,1,1,1,1.0
26,1,1,1,0,1.0
27,1,1,1,1,1.0
28,3,1,1,1,1.0
29,7,1,1,0,1.0
30,4,1,1,1,1.0
31,6,1,1,1,1.0
32,1,1,1,1,1.0
33,6,1,1,1,1.0
34,0,1,1,1,1.0
35,1,1,1,1,1.0
36,4,1,1,1,1.0
37,0,1,1,1,1.0
38,6,1,1,1,1.0
39,6,1,1,0,1.0
40,4,1,1,1,1.0
41,2,1,1,0,1.0
42,0,1,1,0,1.0
43,4,1,1,1,1.0
44,4,1,1,0,1.0
45,6,1,1,0,1.0
46,4,1,1,0,1.0
47,1,1,1,1,1.0
48,0,1,1,0,1.0
49,6,1,1,1,1.0
50,1,1,1,0,1.0
51,7,1,1,1,1.0
52,0,1,1,1,1.0
53,5,1,1,1,1.0
54,7,1,1,1,1.0
55,3,1,1,1,1.0
56,0,1,1,1,1.0
57,7,1,1,0,1.0
58,1,1,1,1,1.0
59,4,1,1,1,1.0
60,7,1,1,0,1.0
61,5,1,1,1,1.0
62,0,1,1,1,1.0
63,6,1,1,1,1.0
64,1,1,1,1,1.0
65,5,1,1,1,1.0
66,4,1,1,0,1.0
67,2,1,1,0,1.0
68,3,1,1,0,1.0
69,0,1,1,0,1.0
70,7,1,1,0,1.0
71,1,1,1,1,1.0
72,2,1,1,1,1.0
73,4,1,1,1,1.0
74,5,1,1,1,1.0
75,4,1,1,1,1.0
76,4,1,1,0,1.0
77,4,1,1,1,1.0
78,6,1,1,0,1.0
79,3,1,1,0,1.0
80,6,1,1,1,1.0
81,6,1,1,1,1.0
82,7,1,1,1,1.0
83,7,1,1,1,1.0
84,6,1,1,1,1.0
85,1,1,1,0,1.0
86,6,1,1,1,1.0
87,5,1,1,0,1.0
88,2,1,1,1,1.0
89,5,1,1,1,1.0
90,2,1,1,1,1.0
91,4,1,1,1,1.0
92,6,1,1,1,1.0
93,1,1,1,0,1.0
94,2,1,1,1,1.0
95,6,1,1,1,1.0
96,3,1,1,1,1.0
97,7,1,1,1,1.0
98,0,1,1,1,1.0
99,5,1,1,1,1.0
100,6,1,1,1,1.0
101,7,1,1,0,1.0
102,1,1,1,0,1.0
103,7,1,1,1,1.0
104,3,1,1,0,1.0
105,2,1,1,0,1.0
