idx,true_label,samples_used_anytime,set_size_anytime,correct_anytime,proxy_prob_anytime
0,7,1,1,1,1.0
1,0,1,1,1,1.0
2,2,1,1,0,1.0
3,0,1,1,1,1.0
4,0,1,1,0,1.0
5,5,1,1,0,1.0
6,2,1,1,1,1.0
7,1,1,1,0,1.0
8,3,1,1,0,1.0
9,6,1,1,0,1.0
10,5,1,1,1,1.0
11,4,1,1,1,1.0
12,2,1,1,0,1.0
13,1,1,1,1,1.0
14,0,1,1,0,1.0
15,4,1,1,1,1.0
16,5,1,1,0,1.0
17,3,1,1,1,1.0
18,6,1,1,1,1.0
19,2,1,1,1,1.0
20,6,1,1,0,1.0
21,7,1,1,1,1.0
22,5,1,1,1,1.0
23,1,1,1,1,1.0
24,7,1,1,1,1.0
25,2,1,1,1,1.0
26,7,1,1,1,1.0
27,1,1,1,0,1.0
28,5,1,1,1,1.0
29,7,1,1,0,1.0
30,3,1,1,1,1.0
31,3,1,1,1,1.0
32,6,1,1,1,1.0
33,3,1,1,1,1.0
34,4,1,1,1,1.0
35,5,1,1,1,1.0
36,7,1,1,1,1.0
37,7,1,1,1,1.0
38,2,1,1,0,1.0
39,4,1,1,0,1.0
40,1,1,1,0,1.0
41,5,1,1,1,1.0
42,0,1,1,1,1.0
43,7,1,1,1,1.0
44,1,1,1,1,1.0
45,5,1,1,1,1.0
46,1,1,1,0,1.0
47,7,1,1,1,1.0
48,5,1,1,1,1.0
49,1,1,1,1,1.0
50,6,1,1,1,1.0
51,3,1,1,1,1.0
52,2,1,1,0,1.0
53,0,1,1,0,1.0
54,6,1,1,1,1.0
55,6,1,1,1,1.0
56,5,1,1,0,1.0
57,4,1,1,0,1.0
58,7,1,1,1,1.0
59,0,1,1,1,1.0
60,6,1,1,0,1.0
61,7,1,1,1,1.0
62,5,1,1,1,1.0
63,3,1,1,1,1.0
64,4,1,1,1,1.0
65,5,1,1,1,1.0
66,7,1,1,1,1.0
67,7,1,1,0,1.0
68,5,1,1,0,1.0
69,4,1,1,1,1.0
70,6,1,1,0,1.0
71,7,1,1,1,1.0
72,4,1,1,1,1.0
73,7,1,1,1,1.0
74,6,1,1,0,1.0
75,3,1,1,1,1.0
76,4,1,1,0,1.0
77,4,1,1,0,1.0
78,5,1,1,1,1.0
79,2,1,1,1,1.0
80,1,1,1,0,1.0
81,1,1,1,1,1.0
82,5,1,1,1,1.0
83,6,1,1,0,1.0
84,5,1,1,1,1.0
85,7,1,1,0,1.0
86,1,1,1,1,1.0
87,6,1,1,1,1.0
88,1,1,1,1,1.0
89,7,1,1,1,1.0
90,3,1,1,0,1.0
91,5,1,1,0,1.0
92,7,1,1,0,1.0
93,5,1,1,1,1.0
94,0,1,1,1,1.0
95,6,1,1,0,1.0
96,0,1,1,1,1.0
97,4,1,1,1,1.0
98,4,1,1,1,1.0
99,0,1,1,0,1.0
100,4,1,1,1,1.0
101,7,1,1,1,1.0
102,6,1,1,0,1.0
103,4,1,1,0,1.0
104,2,1,1,0,1.0
105,4,1,1,1,1.0
106,0,1,1,1,1.0
107,5,1,1,1,1.0
108,4,1,1,1,1.0
109,0,1,1,0,1.0
110,7,1,1,1,1.0
111,2,1,1,1,1.0
112,7,1,1,0,1.0
113,1,1,1,1,1.0
114,5,1,1,1,1.0
115,3,1,1,1,1.0
116,1,1,1,1,1.0
117,5,1,1,1,1.0
118,6,1,1,1,1.0
119,0,1,1,1,1.0
120,6,1,1,1,1.0
121,5,1,1,1,1.0
122,2,1,1,0,1.0
123,0,1,1,1,1.0
124,0,1,1,0,1.0
125,7,1,1,1,1.0
126,1,1,1,1,1.0
127,2,1,1,1,1.0
128,0,1,1,0,1.0
129,4,1,1,0,1.0
130,0,1,1,1,1.0
131,1,1,1,1,1.0
132,2,1,1,0,1.0
133,2,1,1,0,1.0
134,2,1,1,0,1.0
135,4,1,1,1,1.0
136,1,1,1,0,1.0
137,5,1,1,1,1.0
138,6,1,1,0,1.0
139,0,1,1,0,1.0
140,2,1,1,1,1.0
141,5,1,1,1,1.0
